State,Inches,PrecipRank,Avg °F,Avg °C,TempRank
Alabama,58.3,4,62.8,17.1,7
Alaska,22.5,39,26.6,-3,50
Arizona,13.6,47,60.3,15.7,10
Arkansas,50.6,8,60.4,15.8,9
California,22.2,40,59.4,15.2,12
Colorado,15.9,44,45.1,7.3,39
Connecticut,50.3,9,49,9.4,29
Delaware,45.7,16,55.3,12.9,16
Florida,54.5,5,70.7,21.5,1
Georgia,50.7,7,63.5,17.5,5
Hawaii,63.7,1,70,21.1,2
Idaho,18.9,42,44.4,6.9,40
Illinois,39.2,27,51.8,11,23
Indiana,41.7,26,51.7,10.9,25
Iowa,34,31,47.8,8.8,36
Kansas,28.9,35,54.3,12.4,19
Kentucky,48.9,12,55.6,13.1,15
Louisiana,60.1,2,66.4,19.1,3
Maine,42.2,23,41,5,48
Maryland,44.5,18,54.2,12.3,20
Massachusetts,47.7,14,47.9,8.8,35
Michigan,32.8,32,44.4,6.9,40
Minnesota,27.3,37,41.2,5.1,47
Mississippi,59,3,63.4,17.4,6
Missouri,42.2,24,54.5,12.5,18
Montana,15.3,45,42.7,5.9,45
Nebraska,23.6,38,48.8,9.3,30
Nevada,9.5,50,49.9,9.9,28
New Hampshire,43.4,20,43.8,6.6,42
New Jersey,47.1,15,52.7,11.5,22
New Mexico,14.6,46,53.4,11.9,21
New York,41.8,25,45.4,7.4,37
North Carolina,50.3,9,59,15,13
North Dakota,17.8,43,40.4,4.7,49
Ohio,39.1,28,50.7,10.4,26
Oklahoma,36.5,30,59.6,15.3,11
Oregon,27.4,36,48.4,9.1,33
Pennsylvania,42.9,21,48.8,9.3,30
Rhode Island,47.9,13,50.1,10.1,27
South Carolina,49.8,11,62.4,16.9,8
South Dakota,20.1,41,45.2,7.3,38
Tennessee,54.2,6,57.6,14.2,14
Texas,28.9,34,64.8,18.2,4
Utah,12.2,49,48.6,9.2,32
Vermont,42.7,22,42.9,6.1,44
Virginia,44.3,19,55.1,12.8,17
Washington,38.4,29,48.3,9.1,34
West Virginia,45.2,17,51.8,11,23
Wisconsin,32.6,33,43.1,6.2,43
Wyoming,12.9,48,42,5.6,46