"name","abbreviation","region","division","square_miles","inches","preciprank","avg_Â°f","temprank","bikemiles","campcount","routecount","skicount"
"Alabama","AL","South","East South Central","50,750","58.3",4,"62.8",7,0,116,2,1
"Alaska","AK","West","Pacific","570,641","22.5",39,"26.6",50,1,100,"",16
"Arizona","AZ","West","Mountain","113,642","13.6",47,"60.3",10,2,259,30,4
"Arkansas","AR","South","West South Central","52,075","50.6",8,"60.4",9,3,241,10,""
"California","CA","West","Pacific","155,973","22.2",40,"59.4",12,43,1301,172,35
"Colorado","CO","West","Mountain","103,730","15.9",44,"45.1",39,11,507,183,31
"Connecticut","CT","Northeast","New England","4,845","50.3",9,"49.0",29,2,18,1,5
"Delaware","DE","South","South Atlantic","1,955","45.7",16,"55.3",16,2,7,"",""
"Florida","FL","South","South Atlantic","53,997","54.5",5,"70.7",1,5,180,"",1
"Georgia","GA","South","South Atlantic","57,919","50.7",7,"63.5",5,5,179,"",""
"Hawaii","HI","West","Pacific","6,423","63.7",1,"70.0",2,3,36,"",""
"Idaho","ID","West","Mountain","82,751","18.9",42,"44.4",40,"",497,21,20
"Illinois","IL","Midwest","East North Central","55,593","39.2",27,"51.8",23,37,163,5,6
"Indiana","IN","Midwest","East North Central","35,870","41.7",26,"51.7",25,14,111,"",2
"Iowa","IA","Midwest","West North Central","55,875","34.0",31,"47.8",36,2,497,"",7
"Kansas","KS","Midwest","West North Central","81,823","28.9",35,"54.3",19,0,214,"",""
"Kentucky","KY","South","East South Central","39,732","48.9",12,"55.6",15,1,136,49,""
"Louisiana","LA","South","West South Central","43,566","60.1",2,"66.4",3,"",88,"",""
"Maine","ME","Northeast","New England","30,865","42.2",23,"41.0",48,"",32,4,20
"Maryland","MD","South","South Atlantic","9,775","44.5",18,"54.2",20,2,46,"",1
"Massachusetts","MA","Northeast","New England","7,838","47.7",14,"47.9",35,10,36,1,13
"Michigan","MI","Midwest","East North Central","56,539","32.8",32,"44.4",40,30,488,"",44
"Minnesota","MN","Midwest","West North Central","79,617","27.3",37,"41.2",47,16,392,1,17
"Mississippi","MS","South","East South Central","46,914","59.0",3,"63.4",6,"",137,"",""
"Missouri","MO","Midwest","West North Central","68,898","42.2",24,"54.5",18,1,189,"",2
"Montana","MT","West","Mountain","145,556","15.3",45,"42.7",45,1,481,2,17
"Nebraska","NE","Midwest","West North Central","76,878","23.6",38,"48.8",30,1,263,"",""
"Nevada","NV","West","Mountain","109,806","9.5",50,"49.9",28,2,98,44,7
"New Hampshire","NH","Northeast","New England","8,969","43.4",20,"43.8",42,1,44,35,29
"New Jersey","NJ","Northeast","Middle Atlantic","7,419","47.1",15,"52.7",22,2,26,"",3
"New Mexico","NM","West","Mountain","121,365","14.6",46,"53.4",21,0,212,8,9
"New York","NY","Northeast","Middle Atlantic","47,224","41.8",25,"45.4",37,104,149,49,52
"North Carolina","NC","South","South Atlantic","48,718","50.3",9,"59.0",13,0,105,19,6
"North Dakota","ND","Midwest","West North Central","68,994","17.8",43,"40.4",49,0,249,"",4
"Ohio","OH","Midwest","East North Central","40,953","39.1",28,"50.7",26,4,114,"",7
"Oklahoma","OK","South","West South Central","68,679","36.5",30,"59.6",11,"",251,2,""
"Oregon","OR","West","Pacific","96,003","27.4",36,"48.4",33,12,720,28,15
"Pennsylvania","PA","Northeast","Middle Atlantic","44,820","42.9",21,"48.8",30,8,112,1,25
"Rhode Island","RI","Northeast","New England","1,034","47.9",13,"50.1",27,0,9,"",1
"South Carolina","SC","South","South Atlantic","30,111","49.8",11,"62.4",8,"",71,"",""
"South Dakota","SD","Midwest","West North Central","75,898","20.1",41,"45.2",38,"",178,11,3
"Tennessee","TN","South","East South Central","41,220","54.2",6,"57.6",14,9,135,12,1
"Texas","TX","South","West South Central","261,914","28.9",34,"64.8",4,26,486,3,1
"Utah","UT","West","Mountain","82,168","12.2",49,"48.6",32,2,359,123,17
"Vermont","VT","Northeast","New England","9,249","42.7",22,"42.9",44,0,43,"",23
"Virginia","VA","South","South Atlantic","39,598","44.3",19,"55.1",17,3,105,1,4
"Washington","WA","West","Pacific","66,582","38.4",29,"48.3",34,13,576,28,20
"West Virginia","WV","South","South Atlantic","24,087","45.2",17,"51.8",23,"",91,41,5
"Wisconsin","WI","Midwest","East North Central","54,314","32.6",33,"43.1",43,2,309,13,36
"Wyoming","WY","West","Mountain","97,105","12.9",48,"42.0",46,1,251,52,11
"","","","","","","","","","","",6,""
"","","","","","","","","","","",16,""
"","","","","","","","","","","",1,""
"","","","","","","","","","","",1,""
"","","","","","","","","",9,"","",""
"","","","","","","","","","","",25,""
